id,name
1256731,E
1333477,C
2256,R
570287,T
10823,K
951198,J
1251730,T
89809,B
199522,A
24589,P
24590,D
115573,G
5658,M
24393,M
55477,A
113697,R
1213001,C
12311,J
41406,S
101908,M
13565,S
4786,R
18588,J
1009,R
82860,J
2463363,R
18291,L
9781,N
19303,K
2293,F
2144,T
141,D
2505,J
44731,J
87172,M
11449,A
83875,W
1836915,A
28238,D
73457,C
2379811,D
2379813,M
587506,S
543505,J
130640,H
10437,L
70177,C
10367,J
67274,D
12207,K
1369100,M
1098600,H
142678,S
9070,J
30003,G
64838,B
30290,V
2017818,M
2017819,D
145327,A
121633,M
40305,S
2384667,L
130408,E
586505,N
586506,C
15831,F
19547,G
17183,J
17832,C
2539040,P
7395,B
26282,N
122750,L
143406,M
15423,P
1219029,P
141956,M
9045,S
556097,N
1847836,G
1869276,G
5628,A
230725,R
2525109,H
133944,K
147897,Y
146750,G
37260,A
14386,B
1214573,S
1256217,B
9290,H
89799,J
50095,J
109869,K
1254995,A
74749,B
87919,M
96698,C
144289,G
207295,M
40900,M
4935,P
31166,H
107398,S
5938,G
112641,D
9850,B
1255425,H
9126,E
10182,V
21399,R
31839,R
2963,N
16431,S
16839,M
228826,R
1348516,A
36811,N
292445,B
21457,E
68557,J
213438,K
238896,C
94972,E
1366128,T
88495,S
134704,W
240177,R
57250,R
240168,T
1836691,T
115916,A
1608036,J
554622,H
97338,Y
1051846,T
70690,K
119439,T
1437556,B
62414,Y
26724,E
62419,S
576408,B
26739,S
1101342,S
1101343,C
1016349,N
89056,D
1101364,J
31309,H
26660,R
105207,B
4169,D
57119,S
27102,W
8902,S
8253,R
10606,A
6941,C
12073,M
37287,N
922,A
1410492,N
60585,G
153783,R
689,K
72063,C
9088,J
42705,J
95023,O
550552,J
1554375,B
121917,A
58962,D
546750,M
580240,M
2525463,P
19767,S
975085,J
1719741,G
146687,T
1839512,I
1595030,C
1396525,J
114454,B
43975,E
9981,S
2090,K
3636,P
4135,R
8606,R
34982,J
110799,R
15762,T
89042,S
31162,D
1224238,A
1217885,E
29908,N
95732,R
783,J
4800,G
52300,C
160266,D
55635,J
18643,J
8229,R
5401,A
13567,A
246,G
1747683,R
1747685,L
1475610,G
1137579,N
1137580,t
1137581,I
73985,R
2228550,A
2228551,L
2228552,J
17838,R
1220123,G
1452045,B
3063,T
96861,S
2188126,B
18023,R
8998,I
153458,G
58319,J
6774,J
42174,K
1387760,V
227308,V
7301,A
883,W
1733,N
884,S
16327,T
30585,B
2463,P
21278,A
47629,S
1231402,M
30433,N
236135,S
10158,R
38901,G
24759,J
1091581,B
9599,C
5729,K
3150,T
21151,M
1466,C
232104,K
1408695,E
1187022,M
1193442,J
74294,D
5741,M
1091199,L
929955,S
1382100,M
1187021,G
1058066,B
6395,E
173765,K
59016,T
24682,R
13919,M
51813,P
1092208,J
121045,A
1675564,B
175360,G
1110913,J
1559929,I
108122,N
1115257,D
67950,R
28134,G
145871,B
66147,A
2445767,B
1425961,J
543366,D
33004,P
85358,R
9865,L
50967,D
14501,P
10978,M
990400,V
22137,V
69697,J
550511,G
67615,K
543940,B
536915,P
65360,A
1400899,C
220903,G
108120,S
567196,K
39624,P
23958,J
4787,J
19274,S
21200,W
143470,J
213335,D
95866,B
102,D
936885,C
1774673,N
7375,V
39008,C
28615,r
26101,M
28611,B
10342,M
6553,I
158837,D
14371,A
3359,L
22969,J
8437,T
88164,L
27995,B
2183911,A
30613,K
2310,B
41779,M
2095785,K
39644,M
15137,S
11989,M
3508,D
25839,A
223251,P
20043,K
52685,M
1653,J
1654,C
1655,A
350,L
11315,N
2102511,M
2102516,C
1052106,L
1052108,L
1918119,A
59785,F
964843,M
4996,T
7488,J
1473975,T
1642804,C
2630,N
11478,L
35319,S
154971,D
56045,M
1284,N
56778,S
2468,S
18248,M
29069,M
10501,C
1210796,E
6807,S
100253,J
88727,T
32915,L
29918,D
26662,J
2091,J
44079,C
1107983,M
1122373,M
1122374,C
1122375,L
15319,H
11023,S
123304,C
1400160,B
78577,G
1237916,M
135980,P
135981,P
135982,J
1160304,M
1238740,Y
1278342,P
15661,C
20753,F
1194209,R
4735,J
57755,W
3910,F
81683,G
38951,R
1224617,R
1108907,N
19536,J
1339982,R
69342,M
1524,H
37068,J
400,G
1327,I
10341,B
4581,S
15736,S
1047236,J
1310314,N
1932529,J
193648,G
41269,J
9594,K
12410,B
12407,C
2109,K
2130,C
2203,N
70484,C
44107,C
29802,M
98464,A
14469,R
3291,H
63295,P
36083,K
21708,T
24299,J
2565,Y
18847,I
1352,J
16757,S
3268,R
1378034,A
53122,F
138005,T
13526,N
111702,C
7499,J
6161,J
35,S
1080542,J
1850913,T
1159375,D
164807,P
16178,R
3361,G
31550,J
24811,V
76974,W
30002,G
36040,E
40618,E
4778,M
124309,G
134633,T
35516,H
78439,J
1070708,V
1556652,L
1950476,N
162668,M
5961,A
4098,E
149133,S
13963,U
106572,M
14966,A
21462,R
4165,J
1785461,E
1565002,S
228866,C
1498157,J
76022,P
11355,J
26854,P
32556,R
44557,J
10779,D
12982,P
91493,C
131772,A
32646,M
80760,R
2503684,A
1068409,F
1068410,A
1068411,S
2954,J
33663,D
149923,L
1063969,Y
1063970,P
1314544,C
998458,G
1923219,R
2569912,L
2601848,P
2601877,V
112580,D
1508921,F
98538,T
90587,N
110560,G
938769,W
1073842,D
1041318,M
1041321,M
1041322,V
29859,R
1754138,K
56262,A
1102260,L
569,E
2692,R
116100,R
1140098,O
12826,C
1216096,P
8930,J
27011,V
2238924,F
10828,G
200,N
64948,C
66811,D
47457,C
12692,A
13268,R
14572,S
6952,C
142752,H
1227278,S
2636676,D
124756,S
612216,E
66125,B
987137,N
68562,J
1336,J
607,Z
76068,M
54830,S
35350,M
220908,S
477,J
103616,M
11152,M
1727636,A
1020062,C
107622,S
1589269,T
137915,H
19138,B
10539,K
44845,E
114470,P
51990,T
865,M
7402,M
21246,C
81690,D
56578,J
9656,J
1713525,S
1058100,C
115788,P
56446,J
59153,R
1781174,Z
58924,C
146008,S
239009,L
102880,C
262128,C
69638,E
69636,T
70674,N
56830,B
1346979,G
103598,E
227778,C
558825,P
134703,K
83630,L
62424,D
2710,J
49833,M
2057491,Z
2237295,A
1905,V
85345,F
1089261,B
140570,J
77886,P
1140257,K
1140258,J
1314764,R
1499310,M
1248656,L
1655504,T
938939,M
1248678,J
114885,J
70119,C
37583,N
34027,S
45982,A
24379,B
1922219,P
20882,L
30832,F
44865,T
47513,P
11840,P
2034418,J
518627,J
21029,B
123725,A
133,P
175826,M
76512,J
6046,R
1291961,M
1332746,B
74036,T
3198,R
53595,J
95894,R
26076,B
55469,R
137928,C
80112,S
1182929,F
64181,D
64182,B
97185,E
58393,C
56523,L
1768256,A
1796,K
8975,S
1060,D
11777,T
1172100,P
1172101,B
1172102,K
39646,M
1072767,J
1207975,A
41877,M
1921416,E
2662943,S
1070237,J
19707,C
44762,F
15234,D
1552521,B
7229,M
12840,J
6930,D
26659,A
126386,R
1972,D
18980,K
18979,C
29428,E
2568,F
9746,M
1291451,L
1088668,O
1139462,P
1515688,P
2043487,J
16862,C
44556,R
28608,A
33723,J
83037,J
18647,B
1196272,K
70668,D
83904,C
16759,M
1020089,J
119540,J
13823,G
116256,R
116255,B
89933,L
89088,H
143560,V
30210,J
4113,C
28331,R
3783,B
44647,A
14502,J
24363,F
19646,M
37191,G
45523,L
11641,S
62596,K
64722,J
107372,H
5141,H
5139,R
5140,W
1061491,J
1061492,D
16832,T
19850,C
80591,R
88959,A
1080623,K
8727,B
104728,M
174992,E
214869,K
78076,W
1225271,V
5372,R
