ST,Timestamp,Confirmed
KY,2020-03-21 23:13:17,87
KY,2020-03-22 23:45:00,84
KY,2020-03-23 23:19:34,82
KY,2020-03-24 23:37:31,128
LA,2020-03-10 03:13:17,1
LA,2020-03-11 10:13:20,6
LA,2020-03-11 20:00:00,36
LA,2020-03-12 23:44:33,19
LA,2020-03-14 22:13:32,77
LA,2020-03-15 18:20:19,91
LA,2020-03-16 22:13:21,136
LA,2020-03-17 22:53:03,196
LA,2020-03-18 19:33:03,257
LA,2020-03-19 23:43:04,392
LA,2020-03-20 23:43:03,538
LA,2020-03-21 15:43:05,585
LA,2020-03-22 23:45:00,782
LA,2020-03-23 23:19:34,1079
LA,2020-03-24 23:37:31,1306
ME,2020-03-10 02:33:04,0
ME,2020-03-11 20:00:00,1
ME,2020-03-14 16:53:03,3
ME,2020-03-15 18:20:19,12
ME,2020-03-16 18:14:12,17
ME,2020-03-17 17:53:03,32
ME,2020-03-18 19:33:03,42
ME,2020-03-19 18:43:03,52
ME,2020-03-20 19:13:30,56
ME,2020-03-21 23:13:18,70
ME,2020-03-22 23:45:00,70
ME,2020-03-23 23:19:34,91
ME,2020-03-24 23:37:31,109
MD,2020-03-10 18:13:16,8
MD,2020-03-11 03:33:05,9
MD,2020-03-11 20:00:00,18
MD,2020-03-12 01:53:03,12
MD,2020-03-14 22:33:03,26
MD,2020-03-15 18:20:19,32
MD,2020-03-16 20:13:20,41
MD,2020-03-17 16:13:14,60
MD,2020-03-18 19:14:34,85
MD,2020-03-19 21:43:03,107
MD,2020-03-20 16:43:10,149
MD,2020-03-21 23:13:18,193
MD,2020-03-22 23:45:00,205
MD,2020-03-23 23:19:34,268
MD,2020-03-24 23:37:31,322
MA,2020-03-10 22:13:11,92
MA,2020-03-11 20:00:00,123
MA,2020-03-11 22:53:03,95
MA,2020-03-12 21:39:09,108
MA,2020-03-14 22:13:19,302
MA,2020-03-16 21:53:03,197
MA,2020-03-17 22:53:02,218
MA,2020-03-18 14:13:56,218
MA,2020-03-19 21:13:35,328
MA,2020-03-20 23:43:03,413
MA,2020-03-21 23:13:18,525
MA,2020-03-22 23:45:00,592
MA,2020-03-23 23:19:34,771
MA,2020-03-24 23:37:31,1159
MI,2020-03-10 02:33:04,0
MI,2020-03-11 03:33:05,2
MI,2020-03-11 20:00:00,16
MI,2020-03-14 16:53:03,25
MI,2020-03-15 18:20:19,33
MI,2020-03-16 14:38:46,53
MI,2020-03-17 20:53:02,65
MI,2020-03-18 19:14:34,83
MI,2020-03-19 23:43:04,334
MI,2020-03-20 21:13:32,552
MI,2020-03-21 22:43:04,788
MI,2020-03-22 23:45:00,1008
MI,2020-03-23 23:19:34,1289
MI,2020-03-24 23:37:31,1713
MN,2020-03-10 19:53:13,3
MN,2020-03-11 19:13:18,5
MN,2020-03-11 20:00:00,14
MN,2020-03-12 21:39:10,9
MN,2020-03-14 18:53:03,21
MN,2020-03-15 18:20:19,35
MN,2020-03-16 16:53:06,54
MN,2020-03-17 17:53:03,60
MN,2020-03-18 19:14:34,77
MN,2020-03-19 18:43:03,89
MN,2020-03-20 19:13:30,115
MN,2020-03-21 19:43:03,138
MN,2020-03-22 23:45:00,136
MN,2020-03-23 23:19:34,189
MN,2020-03-24 23:37:31,210
MS,2020-03-10 02:33:04,0
MS,2020-03-11 20:00:00,1
MS,2020-03-12 09:33:03,1
MS,2020-03-14 16:53:03,16
MS,2020-03-16 22:33:03,13
MS,2020-03-17 17:53:03,21
MS,2020-03-18 19:33:03,34
MS,2020-03-19 23:43:04,50
MS,2020-03-20 16:43:10,80
MS,2020-03-21 17:13:44,140
MS,2020-03-22 23:45:00,119
MS,2020-03-23 23:19:34,136
MS,2020-03-24 23:37:31,180
MO,2020-03-10 03:13:17,1
MO,2020-03-11 20:00:00,2
MO,2020-03-14 16:53:03,4
MO,2020-03-15 18:20:19,5
MO,2020-03-16 17:13:23,6
MO,2020-03-17 23:33:02,11
MO,2020-03-18 19:33:03,18
MO,2020-03-19 23:43:04,31
MO,2020-03-20 21:43:03,53
MO,2020-03-21 17:43:03,74
MO,2020-03-22 23:45:00,67
MO,2020-03-23 23:19:34,132
MO,2020-03-24 23:37:31,226
MT,2020-03-10 02:33:04,0
MT,2020-03-11 20:00:00,1
MT,2020-03-11 23:13:06,1
MT,2020-03-14 16:53:03,5
MT,2020-03-15 18:20:19,7
MT,2020-03-17 17:33:03,9
MT,2020-03-18 19:33:03,11
MT,2020-03-20 16:43:10,15
MT,2020-03-21 17:43:03,21
MT,2020-03-22 23:45:00,22
MT,2020-03-23 23:19:34,22
MT,2020-03-24 23:37:31,39
NE,2020-03-10 03:13:17,3
NE,2020-03-11 20:00:00,13
NE,2020-03-11 23:13:07,5
NE,2020-03-12 01:53:03,10
NE,2020-03-14 16:53:03,14
NE,2020-03-15 18:20:19,17
NE,2020-03-16 17:13:23,18
NE,2020-03-17 17:53:03,21
NE,2020-03-18 13:53:03,24
NE,2020-03-19 02:33:09,29
NE,2020-03-20 21:43:03,37
NE,2020-03-21 17:43:03,38
NE,2020-03-22 23:45:00,45
NE,2020-03-23 23:19:34,45
NE,2020-03-24 23:37:31,53
NV,2020-03-10 02:33:04,4
NV,2020-03-11 20:00:00,17
NV,2020-03-11 22:53:03,7
NV,2020-03-12 23:44:33,14
NV,2020-03-14 22:33:03,45
NV,2020-03-16 20:13:20,45
NV,2020-03-17 23:33:02,56
NV,2020-03-18 19:14:34,55
NV,2020-03-19 21:43:03,95
NV,2020-03-20 23:43:03,114
NV,2020-03-21 02:43:03,161
NV,2020-03-22 23:45:00,190
NV,2020-03-23 23:19:34,245
NV,2020-03-24 23:37:31,274
NH,2020-03-10 02:33:04,4
NH,2020-03-11 10:13:20,5
NH,2020-03-11 20:00:00,6
NH,2020-03-12 21:39:10,6
NH,2020-03-14 16:53:03,20
NH,2020-03-16 22:33:03,17
NH,2020-03-17 23:13:10,26
NH,2020-03-19 23:43:04,44
NH,2020-03-21 00:13:22,55
NH,2020-03-22 23:45:00,57
NH,2020-03-23 23:19:34,96
NH,2020-03-24 23:37:31,89
NJ,2020-03-10 18:13:16,15
NJ,2020-03-11 18:52:04,23
NJ,2020-03-11 20:00:00,29
NJ,2020-03-12 21:39:10,29
NJ,2020-03-14 22:13:32,69
NJ,2020-03-15 18:20:19,98
NJ,2020-03-16 22:13:21,178
NJ,2020-03-17 20:13:22,267
NJ,2020-03-18 14:13:56,267
NJ,2020-03-19 23:43:04,742
NJ,2020-03-20 21:13:32,890
NJ,2020-03-21 19:43:03,1327
NJ,2020-03-22 23:45:00,1913
NJ,2020-03-23 23:19:34,2843
NJ,2020-03-24 23:37:31,3675
NM,2020-03-10 02:33:04,0
NM,2020-03-11 18:52:04,3
NM,2020-03-11 20:00:00,10
NM,2020-03-12 23:44:33,5
NM,2020-03-14 00:13:05,10
NM,2020-03-15 02:53:03,13
NM,2020-03-16 02:53:12,17
NM,2020-03-17 23:13:10,23
NM,2020-03-19 21:43:03,35
NM,2020-03-20 21:43:03,43
NM,2020-03-22 23:45:00,53
NM,2020-03-23 23:19:34,77
NM,2020-03-24 23:37:31,87
NY,2020-03-10 17:13:27,173
NY,2020-03-11 20:00:00,421
NY,2020-03-11 22:53:03,220
NY,2020-03-12 21:39:10,328
NY,2020-03-14 22:13:32,525
NY,2020-03-15 18:20:19,732
NY,2020-03-16 21:53:03,967
NY,2020-03-17 22:53:03,1706
NY,2020-03-18 19:33:03,2495
NY,2020-03-19 23:43:04,5365
NY,2020-03-20 22:14:43,8310
NY,2020-03-21 22:43:04,11710
NY,2020-03-22 23:45:00,15759
NY,2020-03-23 23:19:34,20839
NY,2020-03-24 23:37:31,25610
NC,2020-03-10 02:33:04,7
NC,2020-03-11 20:00:00,17
NC,2020-03-12 21:39:10,15
NC,2020-03-14 18:13:23,24
NC,2020-03-15 18:20:19,33
NC,2020-03-16 23:53:03,38
NC,2020-03-17 23:13:10,64
NC,2020-03-18 19:14:34,70
NC,2020-03-19 23:43:04,123
NC,2020-03-20 23:43:03,172
NC,2020-03-21 23:13:18,253
NC,2020-03-22 23:45:00,221
NC,2020-03-23 23:19:34,255
NC,2020-03-24 23:37:31,379
ND,2020-03-10 02:33:04,0
ND,2020-03-11 20:00:00,1
ND,2020-03-12 09:33:03,1
ND,2020-03-17 23:33:02,3
ND,2020-03-18 19:33:03,6
ND,2020-03-19 23:43:04,18
ND,2020-03-20 02:43:10,19
ND,2020-03-21 23:13:18,28
ND,2020-03-22 23:45:00,26
ND,2020-03-23 23:19:34,29
ND,2020-03-24 23:37:31,31
OH,2020-03-10 03:13:17,3
OH,2020-03-11 18:52:04,4
OH,2020-03-11 20:00:00,13
OH,2020-03-12 09:33:03,5
OH,2020-03-14 18:53:03,26
OH,2020-03-15 18:20:19,37
OH,2020-03-16 20:13:21,50
OH,2020-03-17 20:53:02,67
OH,2020-03-18 19:14:34,86
OH,2020-03-19 21:43:03,119
OH,2020-03-20 23:43:03,173
OH,2020-03-21 19:43:03,248
OH,2020-03-22 23:45:00,283
OH,2020-03-23 23:19:34,374
OH,2020-03-24 23:37:31,482
OK,2020-03-10 17:13:25,2
OK,2020-03-11 20:00:00,2
OK,2020-03-14 16:53:03,11
OK,2020-03-16 18:14:12,10
OK,2020-03-17 17:53:03,19
OK,2020-03-19 23:43:04,44
OK,2020-03-20 19:43:03,49
OK,2020-03-21 17:43:03,53
OK,2020-03-22 23:45:00,55
OK,2020-03-23 23:19:34,67
OK,2020-03-24 23:37:31,90
OR,2020-03-10 19:53:13,15
OR,2020-03-11 20:00:00,30
OR,2020-03-11 22:53:03,19
OR,2020-03-12 23:44:33,24
OR,2020-03-14 16:33:03,32
OR,2020-03-15 18:20:19,36
OR,2020-03-16 02:33:09,39
OR,2020-03-17 23:13:10,66
OR,2020-03-18 13:53:03,68
OR,2020-03-19 21:43:03,88
OR,2020-03-20 21:43:03,114
OR,2020-03-21 23:13:18,114
OR,2020-03-22 23:45:00,131
OR,2020-03-23 23:19:34,180
OR,2020-03-24 23:37:31,197
PA,2020-03-10 18:13:16,12
PA,2020-03-11 20:00:00,41
PA,2020-03-11 22:53:03,16
PA,2020-03-12 21:39:10,22
PA,2020-03-14 18:53:03,113
PA,2020-03-16 20:13:20,77
PA,2020-03-17 23:13:10,112
PA,2020-03-18 19:14:34,152
PA,2020-03-19 21:13:35,206
PA,2020-03-20 23:43:03,303
PA,2020-03-21 23:13:17,396
PA,2020-03-22 23:45:00,479
PA,2020-03-23 23:19:34,602
PA,2020-03-24 23:37:31,908
RI,2020-03-10 03:13:17,3
RI,2020-03-11 03:13:08,5
RI,2020-03-11 20:00:00,14
RI,2020-03-14 18:53:03,20
RI,2020-03-16 18:14:12,21
RI,2020-03-17 20:53:02,23
RI,2020-03-18 19:33:03,33
RI,2020-03-19 23:43:04,44
RI,2020-03-20 19:43:03,54
RI,2020-03-21 19:43:03,66
RI,2020-03-22 23:45:00,75
RI,2020-03-23 23:19:34,97
RI,2020-03-24 23:37:31,115
SC,2020-03-10 02:33:04,7
SC,2020-03-11 20:00:00,13
SC,2020-03-11 22:53:03,10
SC,2020-03-12 21:39:10,12
SC,2020-03-14 22:33:03,47
SC,2020-03-16 22:33:03,33
SC,2020-03-17 23:13:10,47
SC,2020-03-19 23:43:04,81
SC,2020-03-20 23:43:03,126
SC,2020-03-21 23:13:17,171
SC,2020-03-22 23:45:00,167
SC,2020-03-23 23:19:34,222
SC,2020-03-24 23:37:31,276
SD,2020-03-10 02:33:04,0
SD,2020-03-11 20:00:00,8
SD,2020-03-11 22:53:03,8
SD,2020-03-14 16:53:03,9
SD,2020-03-16 20:13:20,10
SD,2020-03-17 23:33:02,11
SD,2020-03-20 02:43:10,14
SD,2020-03-22 23:45:00,16
SD,2020-03-23 23:19:34,20
SD,2020-03-24 23:37:31,21
TN,2020-03-10 19:53:13,7
TN,2020-03-11 20:00:00,26
TN,2020-03-11 22:53:03,9
TN,2020-03-12 21:39:10,18
TN,2020-03-14 22:33:04,71
TN,2020-03-16 22:13:21,52
TN,2020-03-17 23:13:10,74
TN,2020-03-18 19:14:34,79
TN,2020-03-19 21:13:40,154
TN,2020-03-20 23:43:03,233
TN,2020-03-21 23:13:18,371
TN,2020-03-22 23:45:00,444
TN,2020-03-23 23:19:34,529
TN,2020-03-24 23:37:31,695
TX,2020-03-10 04:13:13,13
TX,2020-03-11 20:00:00,43
TX,2020-03-11 22:53:03,21
TX,2020-03-12 23:44:33,27
TX,2020-03-14 22:33:03,57
TX,2020-03-15 18:20:19,72
